,Date,Open,High,Low,Close,Adj.Close,Volume
0,1965-01-05,1257.719971,1257.719971,1257.719971,1257.719971,1257.719971,0.0
1,1965-01-06,1263.98999,1263.98999,1263.98999,1263.98999,1263.98999,0.0
2,1965-01-07,1274.27002,1274.27002,1274.27002,1274.27002,1274.27002,0.0
3,1965-01-08,1286.430054,1286.430054,1286.430054,1286.430054,1286.430054,0.0
4,1965-01-12,1288.540039,1288.540039,1288.540039,1288.540039,1288.540039,0.0
5,1965-01-13,1281.670044,1281.670044,1281.670044,1281.670044,1281.670044,0.0
6,1965-01-14,1289.5,1289.5,1289.5,1289.5,1289.5,0.0
7,1965-01-18,1271.680054,1271.680054,1271.680054,1271.680054,1271.680054,0.0
8,1965-01-19,1270.339966,1270.339966,1270.339966,1270.339966,1270.339966,0.0
9,1965-01-20,1268.880005,1268.880005,1268.880005,1268.880005,1268.880005,0.0
10,1965-01-21,1270.459961,1270.459961,1270.459961,1270.459961,1270.459961,0.0
11,1965-01-22,1261.829956,1261.829956,1261.829956,1261.829956,1261.829956,0.0
12,1965-01-25,1249.719971,1249.719971,1249.719971,1249.719971,1249.719971,0.0
13,1965-01-26,1248.050049,1248.050049,1248.050049,1248.050049,1248.050049,0.0
14,1965-01-27,1258.209961,1258.209961,1258.209961,1258.209961,1258.209961,0.0
15,1965-01-28,1247.199951,1247.199951,1247.199951,1247.199951,1247.199951,0.0
16,1965-01-29,1242.27002,1242.27002,1242.27002,1242.27002,1242.27002,0.0
17,1965-02-01,1242.829956,1242.829956,1242.829956,1242.829956,1242.829956,0.0
18,1965-02-02,1238.75,1238.75,1238.75,1238.75,1238.75,0.0
19,1965-02-03,1248.030029,1248.030029,1248.030029,1248.030029,1248.030029,0.0
20,1965-02-04,1261.599976,1261.599976,1261.599976,1261.599976,1261.599976,0.0
21,1965-02-05,1263.589966,1263.589966,1263.589966,1263.589966,1263.589966,0.0
22,1965-02-08,1258.930054,1258.930054,1258.930054,1258.930054,1258.930054,0.0
23,1965-02-09,1251.680054,1251.680054,1251.680054,1251.680054,1251.680054,0.0
24,1965-02-10,1248.609985,1248.609985,1248.609985,1248.609985,1248.609985,0.0
25,1965-02-12,1257.939941,1257.939941,1257.939941,1257.939941,1257.939941,0.0
26,1965-02-15,1249.5,1249.5,1249.5,1249.5,1249.5,0.0
27,1965-02-16,1247.01001,1247.01001,1247.01001,1247.01001,1247.01001,0.0
28,1965-02-17,1237.079956,1237.079956,1237.079956,1237.079956,1237.079956,0.0
29,1965-02-18,1241.410034,1241.410034,1241.410034,1241.410034,1241.410034,0.0
30,1965-02-19,1237.349976,1237.349976,1237.349976,1237.349976,1237.349976,0.0
31,1965-02-22,1224.819946,1224.819946,1224.819946,1224.819946,1224.819946,0.0
32,1965-02-23,1223.589966,1223.589966,1223.589966,1223.589966,1223.589966,0.0
33,1965-02-24,1219.099976,1219.099976,1219.099976,1219.099976,1219.099976,0.0
34,1965-02-25,1216.709961,1216.709961,1216.709961,1216.709961,1216.709961,0.0
35,1965-02-26,1213.069946,1213.069946,1213.069946,1213.069946,1213.069946,0.0
36,1965-03-01,1206.47998,1206.47998,1206.47998,1206.47998,1206.47998,0.0
37,1965-03-02,1202.540039,1202.540039,1202.540039,1202.540039,1202.540039,0.0
38,1965-03-03,1207.819946,1207.819946,1207.819946,1207.819946,1207.819946,0.0
39,1965-03-04,1213.030029,1213.030029,1213.030029,1213.030029,1213.030029,0.0
40,1965-03-05,1209.640015,1209.640015,1209.640015,1209.640015,1209.640015,0.0
41,1965-03-08,1190.97998,1190.97998,1190.97998,1190.97998,1190.97998,0.0
42,1965-03-09,1178.430054,1178.430054,1178.430054,1178.430054,1178.430054,0.0
43,1965-03-10,1173.339966,1173.339966,1173.339966,1173.339966,1173.339966,0.0
44,1965-03-11,1164.630005,1164.630005,1164.630005,1164.630005,1164.630005,0.0
45,1965-03-12,1175.859985,1175.859985,1175.859985,1175.859985,1175.859985,0.0
46,1965-03-15,1188.48999,1188.48999,1188.48999,1188.48999,1188.48999,0.0
47,1965-03-16,1181.219971,1181.219971,1181.219971,1181.219971,1181.219971,0.0
48,1965-03-17,1175.800049,1175.800049,1175.800049,1175.800049,1175.800049,0.0
