Date,Adj Close
1/2/2018,29.75800514
1/3/2018,29.97849274
1/4/2018,30.04382133
1/5/2018,30.1009903
1/8/2018,29.76616669
1/9/2018,29.73350143
1/10/2018,29.78249931
1/11/2018,29.85599518
1/12/2018,29.83966255
1/16/2018,29.88866234
1/17/2018,30.36230659
1/18/2018,30.20714569
1/19/2018,30.1663208
1/22/2018,30.15814972
1/23/2018,30.06831551
1/24/2018,30.15814972
1/25/2018,30.40313911
1/26/2018,31.85674095
1/29/2018,31.8649025
1/30/2018,30.86861992
1/31/2018,30.2479763
2/1/2018,30.35512733
2/2/2018,30.17380142
2/5/2018,28.57485962
2/6/2018,29.07762146
2/7/2018,28.83036041
2/8/2018,27.71769905
2/9/2018,28.15452194
2/12/2018,28.56661797
2/13/2018,28.7973938
2/14/2018,29.00344467
2/15/2018,29.43202782
2/16/2018,29.88533592
2/20/2018,29.67928314
2/21/2018,29.47323418
2/22/2018,29.45674896
2/23/2018,29.88533592
2/26/2018,30.56941414
2/27/2018,30.33040237
2/28/2018,29.926548
3/1/2018,29.36609077
3/2/2018,29.62982941
3/5/2018,29.76994514
3/6/2018,29.57213974
3/7/2018,29.61334991
3/8/2018,30.08314705
3/9/2018,30.30566978
3/12/2018,30.17380142
3/13/2018,30.28919029
3/14/2018,29.95951843
3/15/2018,30.14908409
3/16/2018,30.31391907
3/19/2018,29.94303322
3/20/2018,29.94303322
3/21/2018,29.89357948
3/22/2018,29.34136581
3/23/2018,28.42650795
3/26/2018,28.87981987
3/27/2018,28.85509109
3/28/2018,29.09410858
3/29/2018,29.2507019
4/2/2018,28.88805389
4/3/2018,29.40730667
4/4/2018,29.77819443
4/5/2018,29.4485054
4/6/2018,28.98696327
4/9/2018,29.22597885
4/10/2018,29.62982941
4/11/2018,29.49795723
4/12/2018,29.93478394
4/13/2018,29.93478394
4/16/2018,30.10786819
4/17/2018,29.94303322
4/18/2018,30.07490158
4/19/2018,30.10786819
4/20/2018,30.19028473
4/23/2018,30.33040237
4/24/2018,30.54468918
4/25/2018,30.23149109
4/26/2018,30.37160873
4/27/2018,30.49523926
4/30/2018,30.17380142
5/1/2018,29.17652893
5/2/2018,28.75618172
5/3/2018,28.64904404
5/4/2018,28.71497536
5/7/2018,28.78915596
5/8/2018,28.83036041
5/9/2018,28.98696327
5/10/2018,29.16173553
5/11/2018,29.54456139
5/14/2018,29.8441658
5/15/2018,29.70269203
5/16/2018,29.69437218
5/17/2018,29.71933365
5/18/2018,29.6610775
5/21/2018,29.79423332
5/22/2018,29.72765541
5/23/2018,29.93571472
5/24/2018,29.86913109
5/25/2018,29.69437218
5/29/2018,29.71100616
5/30/2018,30.00229836
5/31/2018,29.90242767
6/1/2018,30.16874123
6/4/2018,30.33518791
6/5/2018,30.32687187
6/6/2018,30.27693176
6/7/2018,30.3684845
6/8/2018,30.51828003
6/11/2018,30.21035385
6/12/2018,30.21035385
6/13/2018,30.14377594
6/14/2018,30.09384155
6/15/2018,30.26029015
6/18/2018,30.09384155
6/19/2018,30.14377594
6/20/2018,30.3435173
6/21/2018,30.21035385
6/22/2018,30.38512611
6/25/2018,30.27693176
6/26/2018,30.27693176
6/27/2018,30.1354599
6/28/2018,30.26029015
6/29/2018,30.19371033
7/2/2018,30.23532867
7/3/2018,30.25197411
7/5/2018,30.68473816
7/6/2018,30.88446999
7/9/2018,30.92608833
7/10/2018,31.15078354
7/11/2018,30.96769142
7/12/2018,31.22568703
7/13/2018,31.23401451
7/16/2018,31.10917664
7/17/2018,31.33387756
7/18/2018,31.34220886
7/19/2018,31.0925312
7/20/2018,31.06756401
7/23/2018,30.96769142
7/24/2018,31.37549591
7/25/2018,31.61684036
7/26/2018,31.75832367
7/27/2018,31.9663887
7/30/2018,32.11619568
7/31/2018,33.23139191
8/1/2018,33.51435471
8/2/2018,33.27933502
8/3/2018,34.0263443
8/6/2018,34.44601059
8/7/2018,34.27813721
8/8/2018,34.75655365
8/9/2018,34.41243362
8/10/2018,34.35368347
8/13/2018,34.25295639
8/14/2018,34.16902161
8/15/2018,34.5467186
8/16/2018,34.76495361
8/17/2018,35.32730484
8/20/2018,35.52873611
8/21/2018,35.38604736
8/22/2018,35.31051254
8/23/2018,35.41963196
8/24/2018,35.5874939
8/27/2018,34.89924622
8/28/2018,34.83209229
8/29/2018,34.83209229
8/30/2018,34.83209229
8/31/2018,34.84888077
