Date,Adj Close,new_cases
2020-12-29,114.3899994,1517506
2020-12-30,111.1299973,1728110
2020-12-31,104.4700012,1765165
2021-01-04,111.7300034,1257834
2021-01-05,109.1800003,1730077
2021-01-06,116.2600021,1783387
2021-01-07,115.0899963,2090477
2021-01-08,112.75,1873363
2021-01-11,117.2600021,1402259
2021-01-12,124.5500031,1578673
2021-01-13,124.0599976,1709616
2021-01-14,129.7200012,1703058
2021-01-15,129.6499939,1665119
2021-01-19,125.0100021,1324735
2021-01-20,125.1399994,895212
2021-01-21,132.9799957,1462216
2021-01-22,131.0200043,1487459
2021-01-25,147.0,1181753
2021-01-26,151.9299927,1207416
2021-01-27,155.7299957,1378410
2021-01-28,159.5500031,1367348
2021-01-29,173.1600037,1319524
2021-02-01,157.4799957,1060558
2021-02-02,158.5800018,1028251
2021-02-03,165.8600006,1181436
2021-02-04,173.3099976,1036290
2021-02-05,176.2400055,1221952
2021-02-08,185.9799957,776188
2021-02-09,179.5200043,866018
2021-02-10,179.3399963,978520
2021-02-11,183.4400024,1114595
2021-02-12,183.7400055,1059293
2021-02-16,178.5299988,1059456
2021-02-17,176.7599945,1191713
2021-02-18,169.5700073,1257805
2021-02-19,174.7400055,1272328
2021-02-22,159.3699951,849287
2021-02-23,150.1699982,1188418
2021-02-24,144.7899933,1392992
2021-02-25,148.3800049,1396659
2021-02-26,154.8099976,1379726
2021-03-01,157.3999939,903980
2021-03-02,146.8099976,887141
2021-03-03,131.2200012,1374135
2021-03-04,132.3000031,1407693
2021-03-05,132.1900024,1376219
2021-03-08,123.4700012,870245
2021-03-09,130.8699951,1276443
2021-03-10,129.75,1472903
2021-03-11,140.4700012,1465606
2021-03-12,136.9900055,1493939
2021-03-15,143.6600037,1018403
2021-03-16,156.0200043,1419991
2021-03-17,147.5500031,1699116
2021-03-18,141.4600067,1648020
2021-03-19,143.7400055,1703453
2021-03-22,145.6000061,1203546
2021-03-23,136.5200043,1517895
2021-03-24,131.6100006,1950302
2021-03-25,133.3300018,1972702
2021-03-26,133.2799988,1893275
2021-03-29,123.4199982,1254529
2021-03-30,118.4899979,1666628
2021-03-31,130.9499969,2058427
2021-04-01,132.5500031,2057375
2021-04-05,129.9100037,1238185
2021-04-06,133.5299988,1498068
2021-04-07,131.4700012,1746729
2021-04-08,133.8800049,2410198
